"Keywords"	"Section"	"Description"
"Desert Massasauga"	"Distribution"	"In the United States, the Desert Massasauga is found in Arizona, Colorado, Kansas, New Mexico, Oklahoma, and Texas."
"Desert Massasauga"	"state"	"Arizona,Colorado,Kansas,New Mexico,Oklahoma,Texas"
"Desert Recluse"	"Class"	"Bugs"
"Desert Recluse"	"Category"	"Spider"
"Desert Recluse"	"Scientific_name"	"Loxosceles deserta"
"Desert Recluse"	"Size"	"The average size of mature Desert Recluse spiders is approximately 1/2 of an inch, with a leg span of 1.5 to 2 inches. Male and female are similar in size."
"Desert Recluse"	"Description"	"Desert Recluse spiders are generally yellowish-tan to tan in color. The typical violin shaped marking of the recluse spiders is not apparent on the Desert Recluse. The abdomen is a uniform color, with no markings on it.
Desert Recluse spiders, and the other related recluse spiders, have six eyes arranged in three pairs of two. This is a rather unique feature, as most spiders have eight eyes. A magnified view of the eyes can be seen in a photo below."
"Desert Recluse"	"Distribution"	"The Desert Recluse is found in Arizona, California, Nevada, New Mexico, and Utah. Outside the United States, the Desert Recluse is found in Mexico."
"Desert Recluse"	"Notes"	"The Desert Recluse is known to have a necrotic bite. This means that the bite causes severe damage to the skin and surrounding tissue, resulting in a large open sore, called a necrotic lesion, that takes a long time to heal. In some cases, systemic effects (i.e. headache, nausea, abdominal cramps, joint stiffness, and/or fever) have been reported as well.
Often the Recluse spiders are called Violin Spiders or Fiddleback Spiders, because of the characteristic violin marking. Not all recluse spiders have the Violin marking, such as the Desert Recluse which lacks the violin. Recluse spiders are also called Brown Spiders in some areas.
Magnified eyes of a recluse spider. Note there are only six eyes, arranged in three pairs. Most spiders have eight eyes."
"Desert Recluse"	"state"	"Arizona,California,Nevada,New Mexico,Utah"
"Dog Flea"	"Class"	"Bugs"
"Dog Flea"	"Category"	"Fleas"
"Dog Flea"	"Clinical_Signs"	"Look at the bite: So what do flea bites look like? Fleas leave tiny, red, raised dots on your dog's skin. They are typically smaller than other insect bites, although they can become inflamed after a dog scratches. Some dogs have a stronger reaction to flea bites than others, which creates a much larger red area.
Feeling of the bite: Severe scratching and itching. Biting and chewing at skin. Hair loss.
Their bites can trigger severe allergic reactions, lead to dangerous blood loss, and even transmit serious diseases."
"Dog Flea"	"Treatment"	"Cure: Flea bites typically don't need treatment. Over-the-counter anti-itch creams or ointments and antihistamines can relieve itchy skin and discomfort."
"Dogbanes"	"Class"	"Plants"
"Dogbanes"	"Category"	"Plants"
"Dogbanes"	"Scientific_name"	"Apocynum cannabinum and other species"
"Dogbanes"	"Description"	"This is a perennial milky-juiced herb of the Dogbane family. It has opposite leaves which are simple, nearly 5 inches long and about half as wide, with smooth margins."
"Dogbanes"	"Clinical_Signs"	"Animals that have eaten appreciable quantities of dogbane show first a rise in body temperature, sweating, and a strong pulse but cold extremities. The pupils of the eyes are usually dilated. The inside of the mouth and nostrils becomes discolored, and later the mouth becomes so sore that the animal refuses food. In spite of this, bowel action may be frequent. Death is likely to follow."
"Dogbanes"	"Toxic_Principle"	"Cardiac glycosides."
"Dogbanes"	"Conditions_of_Poisoning"	"This plant is reportedly very distasteful and animals usually avoid it, so poisoning is infrequent. It is consumed primarily when other forage is in short supply. Both green and dried dogbane are toxic. Fifteen to thirty grams of green leaves have been reported to cause the death of a horse or a cow. The root of Apocynum cannabinum has been employed therapeutically to \retard the heart in systole\ and was therefore used for \dropsy\ and \heart trouble.\"
"Dogbanes"	"Control"	"Keep animals from grazing along roadsides, in abandoned fields, or in any other areas where dogbanes are growing. Do not cut hay from land infested with dogbanes. Get rid of these plants in all areas in which animals are grazed or from which hay is cut to be used as feed."
"Dogbanes"	"Animals_Affected"	"Horses, cattle, sheep, cats, dogs, goats"
"Dogbanes"	"Distribution"	"This weed is scattered throughout the United States in open fields, pastures, along roadsides and streams. Sometimes the plant is cultivated for ornament and for use in medicine."
"Dogbanes"	"state"	""
"Dusky Pygmy Rattlesnake"	"Class"	"Animals"
"Dusky Pygmy Rattlesnake"	"Category"	"Snake"
"Dusky Pygmy Rattlesnake"	"Scientific_name"	"Sistrurus miliarius barbouri"
"Dusky Pygmy Rattlesnake"	"Size"	"The average size of a mature Dusky Pygmy Rattlesnake is 1 - 2 feet in length. The largest one on record is 30 inches."
"Dusky Pygmy Rattlesnake"	"Description"	"The Dusky Pygmy Rattlesnake, often called the \Ground Rattler\, is a heavy-bodied snake. The body of the snake is brown or grey. A reddish-orange or rust colored stripe often runs along the spine. The snake is marked by dark brown or black blotches along its spine that appear to cover the reddish-orange stripe. There is also three rows of dark brown or black blotches on its sides. There is a dark cheek-stripe on both sides of the head that starts at the eye and runs diagonally down and backwards to the jaw above the mouthline. The bottom of the cheek-stripe is often edged in white. The top of the head is often marked by two stripes that continue on to the neck. The end of the tail has a small rattle on it that is seldom lounder than a buzzing insect, and is often not heard or even seen.
The Dusky Pygmy Rattlesnake is categorized as one of several primitive rattlesnakes in the genus Sistrurus. Unlike other rattlesnakes, these rattlesnakes have 9 enlarged scales on the top of their head.
The Dusky Pygmy Rattlesnake has elliptical pupils that look like cat's eyes and like all pit vipers, has a heat-sensing pit between the nostril and eye on each side of its head. The Dusky Pygmy Rattlesnake has a large, triangular head that is wider than the neck when viewed from above."
"Dusky Pygmy Rattlesnake"	"Distribution"	"In the United States, the Dusky Pygmy Rattlesnake is found in Alabama, Florida, Georgia, Mississippi, and South Carolina."
"Dusky Pygmy Rattlesnake"	"state"	"Alabama,Florida,Georgia,Mississippi,South Carolina"
"Dutchman's Breeches & Squirrel Corn"	"Class"	"Plants"
"Dutchman's Breeches & Squirrel Corn"	"Category"	"Plants"
"Dutchman's Breeches & Squirrel Corn"	"Scientific_name"	"Dicentra cucullaria Bernh & Dicentra canadensis (Goldie) Walp"
"Dutchman's Breeches & Squirrel Corn"	"Description"	"Dutchman's Breeches is a low, delicate herb, with slender leaf stalks and flower stalks, both rising from an underground, scaly bulb. Its lacy leaves are 3-parted and finely divided. The flower stalks are 5 to 10 inches long and bear several nodding blossoms 1/2 to 3/4 inch long. The blossoms are odorless, white, and flattened; their peculiar shape suggests the common name of the plant. Seeds are produced in small spindle-shaped pods.
A closely related Dicentra Canadensis (squirrel corn) grows 6-12 inches tall from a horizontal rhizome with small round tubers at the base of the plant. Below ground it has a long rootstock bearing yellowish flattened, orbicular corms. Other than the fact the spurs of D. canadensis are short and not divergent, the two species of Dicentra are very much alike, except that squirrel corn has fragrant flowers."
"Dutchman's Breeches & Squirrel Corn"	"Clinical_Signs"	"Eating the leaves and roots produce poisoning similar to that of Bleeding Heart, a common garden plant. The most common symptom of poisoning by Dutchman's breeches and squirrel corn is a staggering gait, which gives the common name staggerweed to both plants. After eating these plants, cows give less milk.
Experimental feeding of these plants to steers caused sudden trembling which increased in severity, frothing of the mouth, ejection of partially digested stomach contents, and convulsions. The eyes became glassy, and the animals went down and moaned as if in pain. Death from Dutchman's Breeches poisoning is rare, particularly if animals are kept away from the plant after the first symptoms appear."
"Dutchman's Breeches & Squirrel Corn"	"Toxic_Principle"	"Isoquinoline alkaloids."
"Dutchman's Breeches & Squirrel Corn"	"Conditions_of_Poisoning"	"All parts of the plants are poisonous, and poisoning can occur through ingestion or skin contact. Poisoning generally only occurs after ingesting large amounts of the plant, and skin irritation caused by the plant is minor and quick to fade."
"Dutchman's Breeches & Squirrel Corn"	"Control"	"Where Dutchman's Breeches is abundant in pastures, keep cows out until other forage is plentiful -- usually late in May. Let sheep graze infested pastures first. Although Dutchman's Breeches is hard to destroy, heavy grazing by sheep is reported to nearly rid woods pastures of this pest."
"Dutchman's Breeches & Squirrel Corn"	"Animals_Affected"	"Cattle
Cattle"
"Dutchman's Breeches & Squirrel Corn"	"Distribution"	"Both Dutchman's breeches and squirrel corn occur throughout the state in wooded areas. Dutchman's breeches is in many places abundant, especially on wooded slopes that have well-drained soil and rich deposits of leaf mold. Squirrel corn, although preferring the same habitat, is much rarer.
Generally Dicentra spp. grow naturally in rich, moist woodlands of eastern to midwestern North America, ranging from New York and southern Ontario to northern Alabama and as far west as eastern Kansas and Nebraska."
"Dutchman's Breeches & Squirrel Corn"	"state"	"Alabama,Kansas,Nebraska,New York"
"Eastern Coral Snake"	"Class"	"Animals"
"Eastern Coral Snake"	"Category"	"Snake"
"Eastern Coral Snake"	"Scientific_name"	"Micrurus fulvius"
"Eastern Coral Snake"	"Size"	"The average size of mature Eastern Coral Snakes is 2 to 3 feet in length. They can grow much larger, with a current record of 47.5 inches, but that is rare."
"Eastern Coral Snake"	"Description"	"Eastern Coral Snakes are colorful snakes. They have rings of black, yellow, and red around their bodies. The yellow rings are very thin compared to the black and red rings. The red rings of Eastern Coral Snakes typically have some black scales and spots in them. The last several inches of the tail of the Eastern Coral Snake contains several rings of black and yellow, without the red rings. Several other snakes are colored similarly, with black, yellow, and red rings, but there is a phrase to help identify coral snakes from these other look-alikes:
Red touches yellow - kill a fellow
Red touches black - venom lack
There are several different versions of this simple rhyme, but the key to it is - if the red and yellow rings touch, it's probably a coral snake. Another quick identifying feature is that the Easter Coral Snake's head or nose is typically black. There are exceptions to this rule, but if the nose is black, it's probably a coral snake. If you are unsure what kind of snake it is, leave it alone.
Like all coral snakes, Eastern Coral Snakes have small, fixed fangs in the front of their mouth. They do not have hinged fangs like the pit vipers."
"Eastern Coral Snake"	"Distribution"	"In the United States, the Eastern Coral Snake is found in the southeastern states of Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, and South Carolina."
"Eastern Coral Snake"	"Notes"	"Eastern Coral Snakes are secretive and shy snakes that are rarely seen. When they are disturbed or feel threatened, they will often hide their head under their body, coil the end of their tail tightly and then raise their tail and move it in the air in an attempt to fool an attacker into thinking the tail is actually the head.
Eastern Coral Snakes are highly venomous snakes, but bites are relatively rare. Most bites occur when a snake is stepped on, or when someone attempts to handle an Eastern Coral Snake. Some say that the mouth of Eastern Coral Snakes are so small that they can only bite fingers or loose folds of skin - this is simply not true."
"Eastern Coral Snake"	"state"	"Alabama,Florida,Georgia,Louisiana,Mississippi,North Carolina,South Carolina"
"Eastern Cottonmouth"	"Class"	"Animals"
"Eastern Cottonmouth"	"Category"	"Snake"
"Eastern Cottonmouth"	"Scientific_name"	"Agkistrodon piscivorus piscivorus"
"Eastern Cottonmouth"	"Size"	"The average size of a mature Eastern Cottonmouth is approximately 3 feet in length. Some may grow to 4 or 5 feet in length, and on rare occasion may exceed 5.5 feet."
"Eastern Cottonmouth"	"Description"	"The Eastern Cottonmouth, often called a Water Moccasin, is a heavy, thick-bodied snake. It is dark olive, brown, or black in color and usually has dark brown bands around the back and sides. These bands usually have serrated, saw-like edges. The bands are often difficult to see, and the snake's body may appears to be completely black. There is a dark stripe on both sides of the head that starts at the eye and runs backwards along the head, although this is not as well defined as it is on the Florida Cottonmouth, and is often difficult to see. This stripe may be outlined on top by a lighter cream-colored pinstripe, and a contrasting lighter color below. The underside of the body is typically yellowish-white to a dark tan in color with dark blotches on it.
The Eastern Cottonmouth has elliptical pupils that look like cat's eyes and like all pit vipers, has a heat-sensing pit between the nostril and eye on each side of its head. The Eastern Cottonmouth has a large, triangular head that is wider than the neck when viewed from above.
Young Eastern Cottonmouths are brightly patterned and the tip of the tail on young Eastern Cottonmouths is yellow. The yellow tail is used to attract food. It is wiggled in a motion imitating a worm or caterpillar, which attract frogs, lizards, or other prey that the young Eastern Cottonmouth eats."
"Eastern Cottonmouth"	"Distribution"	"In the United States, the Eastern Cottonmouth is found in the southeastern states of Alabama, Florida, Georgia, Mississippi, North Carolina, South Carolina, and Virginia."
"Eastern Cottonmouth"	"Notes"	"The Eastern Cottonmouth is typically found around freshwater such as lakes, ponds, rivers, and swamps. Along with the Florida Cottonmouth and Western Cottonmouth, it is one of only three venomous water snakes in North America.
When disturbed or threatened, the Eastern Cottonmouth with often coil up it's body, open its mouth wide, and show the white inside of its mouth as a defensive warning. The inside of the mouth looks like white cotton, which is where the cottonmouth gets its name. This defensive posture is often called gaping. One interesting fact about this display is that the fangs are typically not erect and showing, but remain retracted. This is a great example of the fact that the Cottonmouth has voluntary control over whether the fangs are erect or not when its mouth is opened.
The Eastern Cottonmouth is often thought of as an aggressive snake. This is partly due to the fact that they will often stand their ground, showing their defensive posture, rather than retreat. Truth is, they bite out of defense when they feel trapped or cornered, and are not an aggressive snake that will chase someone down.
Many people wrongly assume that any dark-colored snake near the water is a Cottonmouth. There are many different kinds of water snakes that live in the same areas as the Eastern Cottonmouth. There are ways to tell them apart. The Cottonmouth has elliptical pupils, which look like cat-eyes, whereas the other water snakes have round pupils. The Cottonmouth has heat-sensing pits between its eyes and nostrils, like all pit vipers. The other water snakes do not have heat-sensing pits. When the head is viewed from above, the eyes of the Cottonmouth cannot be seen, whereas the eyes of the water snake can be. The Eastern Cottonmouth swims with its head well out of the water, whereas water snakes swim with their heads in the water. The dark stripe, running from the eyes back along the sides of the head, can also help identify a Eastern Cottonmouth."
"Eastern Cottonmouth"	"state"	"Alabama,Florida,Georgia,Mississippi,North Carolina,South Carolina,Virginia"
"Eastern Diamondback Rattlesnake"	"Class"	"Animals"
"Eastern Diamondback Rattlesnake"	"Category"	"Snake"
"Eastern Diamondback Rattlesnake"	"Scientific_name"	"Crotalus adamanteus"
"Eastern Diamondback Rattlesnake"	"Size"	"The average size of a mature Eastern Diamondback Rattlesnake is 3 - 6 feet in length. The longest length on record is 96 inches (8 feet). The Eastern Diamondback Rattlesnake is the largest rattlesnake, as well as the largest venomous snake, native to the United States."
"Eastern Diamondback Rattlesnake"	"Description"	"The Eastern Diamondback Rattlesnake is a heavy, thick-bodied snake. The body of the snake has dark diamond-shaped patterns that run along the snake's spine. The center of the diamonds are typically brown, and the diamonds are definitively outlined in a cream color. The diamond pattern usually fades to a lighter brown or gray color near the tail, and often turns into a banding pattern or fades completely at the end of the tail. The end of the tail has a rattle on it.
There is a distinctive dark cheek-stripe on both sides of the head that starts at the eye and runs diagonally down and backwards to the jaw. This stripe is outlined on both sides by cream-colored stripes. On the tip of the nose of the Eastern Diamondback Rattlesnake are two small, cream stripes that start between the nostrils and run down the nose to just underneath the chin. The underside of the body is typically dark tan to brown in color.
The Eastern Diamondback Rattlesnake has elliptical pupils that look like cat's eyes and like all pit vipers, has a heat-sensing pit between the nostril and eye on each side of its head. The Eastern Diamondback Rattlesnake has a large, triangular head that is wider than the neck when viewed from above."
"Eastern Diamondback Rattlesnake"	"Distribution"	"In the United States, the Eastern Diamondback Rattlesnake is found in the southeastern states of Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, and South Carolina."
"Eastern Diamondback Rattlesnake"	"state"	"Alabama,Florida,Georgia,Louisiana,Mississippi,North Carolina,South Carolina"
"Eastern Massasauga"	"Class"	"Animals"
"Eastern Massasauga"	"Category"	"Snake"
"Eastern Massasauga"	"Scientific_name"	"Sistrurus catenatus catenatus"
"Eastern Massasauga"	"Size"	"The average size of a mature Eastern Massasauga is 1.5 - 2.5 feet in length. The largest one ever recorded is 39.5 inches."
"Eastern Massasauga"	"Description"	"The Eastern Massasauga is a heavy-bodied snake. The body of the snake is brown or grey. The snake is marked by dark brown or black blotches along its spine, and two or three rows of dark brown or black blotches on its sides. The blotches are sometimes outlined in white and often form into crossbands near the tail. The belly of the Eastern Massasauga is mostly black with scattered white or yellow markings. The end of the tail has a rattle on it.
There is a cheek-stripe on both sides of the head that starts at the eye and runs diagonally down and backwards to the jaw. The top of the head is marked by two stripes that continue on to the neck.
The Eastern Massasauga is categorized as one of several primitive rattlesnakes in the genus Sistrurus. Unlike other rattlesnakes, these rattlesnakes have 9 enlarged scales on the top of their head.
The Eastern Massasauga has elliptical pupils that look like cat's eyes and like all pit vipers, has a heat-sensing pit between the nostril and eye on each side of its head. The Eastern Massasauga has a large, triangular head that is wider than the neck when viewed from above."
"Eastern Massasauga"	"Distribution"	"In the United States, the Eastern Massasauga is found in Illinois, Indiana, Iowa, Michigan, Missouri, New York, Ohio, Pennsylvania, and Wisconsin."
"Eastern Massasauga"	"state"	"Illinois,Indiana,Iowa,Michigan,Missouri,New York,Ohio,Pennsylvania,Wisconsin"
"Elderberry"	"Class"	"Plants"
"Elderberry"	"Category"	"Plants"
"Elderberry"	"Scientific_name"	"Sambucus canadensis"
"Elderberry"	"Description"	"Elderberry plants are a woody shrub growing about 20 feet tall. The stems are filled with a white pith, and the leaves are opposite, pinnately compound, with lance-shaped serrated leaflets. The flowers are in small flat-topped clusters. Each flowers has about five white petals, and are about 4-6 mm in diameter. Elderberry plants also have drooping clusters of dark purple berries."
"Elderberry"	"Clinical_Signs"	"An increased heart rate. Increased respiratory rate, panting, open-mouthed breathing, and extreme difficulty breathing. The mucous membranes are bright red. Death results rapidly from asphyxiation. "
"Elderberry"	"Toxic_Principle"	"Cyanogenic glycoside sambunigrin which is hydrolysed in the rumen by microorganisms to free hydrogen cyanide (HCN). The cyanide blocks the action of cytochrome oxidase that prevents hemoglobin from releasing oxygen to the tissues.."
"Elderberry"	"Conditions_of_Poisoning"	"All parts of the plant are poisonous to consume, especially if wilted or in regrowth. Some cases of poisoning in humans occur from using the plant as an herbal medication. Toxicity is largely lost when the berries of the plant are cooked or fermented to make foods like jelly or wine."
"Elderberry"	"Animals_Affected"	"Humans, cattle, sheep, goats"
"Elderberry"	"Distribution"	"Elderberry can be found throughout the continental United States, but is more common in the eastern to central states. It prefers moist soils and is frequently found in fields, ditches, and wooded areas. It is also cultivated as an ornamental plant or for use as an ingredient in food or as an herbal medicine."
"Elderberry"	"state"	""
"Elderberry"	"References_Used"	"Burrows, George E., & Tyrl, Ronald J. (2013). Toxic plants of North America. Hoboken: Wiley-Blackwell."
"Ergot"	"Class"	"Plants"
"Ergot"	"Category"	"Plants"
"Ergot"	"Scientific_name"	"Claviceps purpurea"
"Ergot"	"Description"	"Ergot is a fungus that lives as a parasite in the blossoms of grasses. When the grass heads are nearly mature, it appears as jumbo grains protruding from the heads. Ergot grains, which are fungus bodies and not seeds, are several to many times the size of the grass seed. They are dark violet to almost black and are curved, hard, and hornlike. Ergot varies in abundance from year to year."
"Ergot"	"Clinical_Signs"	"Ergot poisoning, often called ergotism, produces two distinct types of clinical signs. Acute poisoning, which results from eating a large amount of ergot at one time, causes muscular trembling, discoordination, convulsions, and painful contraction of the muscles. In fatal cases the animal becomes delirious.
The gangrenous type of poisoning, which follows continued feeding on smaller amounts of ergot, causes the animal to become dull and depressed and to develop gangrene of the tail, feet, ears, or teats. Gangrene may vary from rather simple sores around the coronary band or top of the hoof, in the space between the claws, or on the teats to a loosening of the hoof or the sloughing of a larger part of a limb or of the tail, ears, or teats. Before sloughing occurs, a well-marked line of division can be seen between the healthy and gangrenous tissue, similar to the type of lesion that has been observed in selenium poisoning in such western states as Kansas, Nebraska, and Wyoming.
Nausea, vomiting, colic, and diarrhea may occur in both types of poisoning. Even when none of the above signs of ergotism are apparent, the presence of ergot in feed should be suspected whenever pregnant animals have an otherwise inexplicable tendency to abort."
"Ergot"	"Toxic_Principle"	"The toxic action of ergot is due to the numerous alkaloids (ergotamine, ergocristine, ergonovine, etc.) present in the sclerotia and other components--choline, ACH, histamine, sterols. Over 40 alkaloids have been identified which are derivatives of lysergic acid, some of which are inactive.
The important naturally occurring alkaloids are ergotamine and ergonovine. Of these, ergonovine is more readily absorbed. Both compounds are potent smooth muscle activators. LSD is also derived from ergot, and the smooth muscle contracting activity, although sometimes present, is not always seen. LSD causes depersonalization or hallucinations and may produce toxic psychosis."
"Ergot"	"Conditions_of_Poisoning"	"Animals get ergot either in the grain fed them or by grazing on infected grass. Obtained in either way, ergot may cause acute poisoning if a large quantity is eaten at one time. Also, because the effect of ergot is cumulative, poisoning may develop slowly if lesser quantities are eaten regularly. Experiments have shown, however, that a small amount of ergot is not injurious to dairy cattle that are amply provided with a balanced ration."
"Ergot"	"Control"	"Do not feed grain or hay that contains ergot. Clean contaminated grain before feeding it. Destroy infested hay. Before planting rye, clean the seed thoroughly either by mechanical means or by immersing it in a 25% salt solution. If using the salt solution, skim off ergots as they rise to the top; then wash the rye seed in water to remove the salt; dry, and plant. If wild grasses are infested, burn them to destroy the ergot.
Besides attacking many kinds of wild grasses, ergot is frequently abundant on rye in rye-fields and on volunteer rye in wheat-fields. Grain from these fields (or screenings used as feed) is very likely to cause poisoning. If there is much ergot in the grain, its effect can be very severe."
"Ergot"	"Animals_Affected"	"All animals and humans are susceptible to ergotism, but cattle are often the most affected."
"Ergot"	"Distribution"	"Ergot is well known as a disease of rye. It also attacks many of the wild grasses that grow along roads, in fence rows, woods, meadows, and pastures, and can often be found on wild rye, quack grass, red top, and bromegrass. It occurs throughout Illinois, being more abundant in some years than in others. "
"Ergot"	"state"	"Illinois"
"Ergot"	"References_Used"	"https://beef.unl.edu/cattleproduction/ergot-poisoning-in-cattle"
"Fireweed"	"Class"	"Plants"
"Fireweed"	"Category"	"Plants"
"Fireweed"	"Scientific_name"	"Kochia scoparia Schrad"
"Fireweed"	"Description"	"Fireweed is known by many names including Summer Cypress, Burning Bush, and Mexican Fireweed. Fireweed can be grown in dry drought conditions. In ideal conditions, it grows to six feet high. The plant's stems have many branches with soft, fluffy leaves. The flowers are green and unnoticeable, growing in the axils of the upper leaves. The veins of the leaves, as well as mature stems, are typically red. The stems change to bright red in the fall. "
"Fireweed"	"Clinical_Signs"	"Livestock will show different symptoms of Fireweed poisoning depending on the biological system affected. Commons symptoms are difficulty breathing, blindness, depression, kidney failure, and liver disease. In cases of severe nitrate poisoning, livestock can die. "
"Fireweed"	"Toxic_Principle"	"Toxicity of the plant can change depending on growing conditions; more mature plants or plants growing in extreme drought can be more toxic to animals. In general, Fireweed can produce nitrates, sulfates, saponins, and alkaloids. "
"Fireweed"	"Conditions_of_Poisoning"	"Fireweed can affect many biological systems of livestock, including the cardiovascular system, respiratory system, nervous system, renal system, integumentary system, ocular system, and hepatic system. Immature Fireweed is often used in livestock's feed because it has a similar composition to alfalfa. When consumed in large quantities, mature Fireweed can cause nitrate poisoning. "
"Fireweed"	"Control"	"Individuals should contact their local agriculture extension specialist or county weed specialist for guidance in the best practice for managing Fireweed in their area.  Herbicides tend to be less effective as Fireweed matures; their general effectiveness depends on the size of the dose used and the age of the plant. "
"Fireweed"	"Animals_Affected"	"Sheep, horses, cattle"
"Fireweed"	"Distribution"	"Fireweed is found throughout the western and northern United States, as well as in much of Canada. It is common along roadsides, the edges of fields, and the edges of waste areas."
"Fireweed"	"state"	""
"Fireweed"	"References_Used"	"https://plants.usda.gov/plantguide/pdf/pg_kosc.pdf
https://csuvth.colostate.edu/poisonous_plants/Plants/Details/84"
"Florida Cottonmouth"	"Class"	"Animals"
"Florida Cottonmouth"	"Category"	"Snake"
"Florida Cottonmouth"	"Scientific_name"	"Agkistrodon piscivorus conanti"
"Florida Cottonmouth"	"Size"	"The average size of a mature Florida Cottonmouth is approximately 3 feet in length. Some may grow to 4 or 5 feet in length, and on rare occasion may exceed 5.5 feet. The largest recorded Florida Cottonmouth was 74.5 inches."
"Florida Cottonmouth"	"Description"	"The Florida Cottonmouth, often called a Water Moccasin, is a heavy, thick-bodied snake. It is dark olive, brown, or black in color and usually has dark brown bands around the back and sides. These bands usually have serrated, saw-like edges. The bands are often difficult to see, and the snake's body may appears to be completely black. There is a distinctive dark stripe on both sides of the head that starts at the eye and runs backwards along the head. This stripe is outlined on top by a cream-colored pinstripe, and has a contrasting light cream color below it. On the tip of the nose of the Florida Cottonmouth, are two small, dark stripes that start between the nostrils and run down the nose to just underneath the chin. The underside of the body is typically yellowish-white to a dark tan in color with dark blotches on it.
The Florida Cottonmouth has elliptical pupils that look like cat's eyes and like all pit vipers, has a heat sensing-pit between the nostril and eye on each side of its head. The Florida Cottonmouth has a large, triangular head that is wider than the neck when viewed from above.
Young Florida Cottonmouths are brightly patterned and the tip of the tail on young Florida Cottonmouths is yellow or green. The yellow/green tail is used to attract food. It is wiggled in a motion imitating a worm or caterpillar, which attract frogs, lizards, or other prey that the young Florida Cottonmouth eats."
"Florida Cottonmouth"	"Distribution"	"In the United States, the Florida Cottonmouth is found in the southeastern states of Alabama, Florida, Georgia, and South Carolina."
"Florida Cottonmouth"	"Notes"	"The Florida Cottonmouth is typically found around freshwater such as lakes, ponds, rivers, and swamps. Along with the Eastern Cottonmouth and Western Cottonmouth, it is one of only three venomous water snakes in North America.
When disturbed or threatened, the Florida Cottonmouth with often coil up it's body, open its mouth wide, and show the white inside of its mouth as a defensive warning. The inside of the mouth looks like white cotton, which is where the cottonmouth gets its name. This defensive posture is often called gaping. One interesting fact about this display is that the fangs are typically not erect and showing, but remain retracted. This is a great example of the fact that the Cottonmouth has voluntary control over whether the fangs are erect or not when its mouth is opened.
The Florida Cottonmouth is often thought of as an aggressive snake. This is partly due to the fact that they will often stand their ground, showing their defensive posture, rather than retreat. Truth is, they bite out of defense when they feel trapped or cornered, and are not an aggressive snake that will chase someone down.
Many people wrongly assume that any dark-colored snake near the water is a Cottonmouth. There are many different kinds of water snakes that live in the same areas as the Florida Cottonmouth. There are ways to tell them apart. The Cottonmouth has elliptical pupils, which look like cat-eyes, whereas the other water snakes have round pupils. The Cottonmouth has heat-sensing pits between its eyes and nostrils, like all pit vipers. The other water snakes do not have heat-sensing pits. When the head is viewed from above, the eyes of the Cottonmouth cannot be seen, whereas the eyes of the water snake can be. The Florida Cottonmouth swims with its head well out of the water, whereas water snakes swim with their heads in the water. The dark stripe, running from the eyes back along the sides of the head, can also help identify a Florida Cottonmouth."
"Florida Cottonmouth"	"state"	"Alabama,Florida,Georgia,South Carolina"
"Foxglove"	"Class"	"Plants"
"Foxglove"	"Category"	"Plants"
"Foxglove"	"Scientific_name"	"Digitalis purpurea "
"Foxglove"	"Description"	"Foxglove is an erect herb found as a weed or as a cultivated ornamental grown in gardens. It typically grows up to approximately 5 feet tall. The leaves are alternate and the flowers are showy, pink, and bell-shaped. Flowers grow terminally on the stem on elongated racemes.
Parts that are deadly/not deadly: all of the parts a deadly like the leaves, flowers, stems, and seeds they contain potent cardiac glycosides, primarily digitoxin, which dramatically affect the heart, causing irregular rhythms, slowing the pulse, and potentially leading to cardiac arrest, with even small amounts being fatal, making it dangerous if eaten, or even if sap touches skin or pollen is inhaled."
"Foxglove"	"Clinical_Signs"	"Symptoms of poisoning include dizziness, vomiting, diarrhea (possibly bloody), irregular heart beat, weakness, stupor, and delirium or hallucinations. Poisoning can be fatal.
Some symptoms that you will have include: Irregular heartbeat like fast or slow, low blood pressure, collapse, in serious cases cardiac arrest, nausea, diarrhea, stomach pain, and not wanting to eat."
"Foxglove"	"Toxic_Principle"	"Cardiac glycosides such as digoxin, digitonin, and digitoxin are in all parts of the plant. "
"Foxglove"	"Conditions_of_Poisoning"	"Poisoning occurs when the plant is eaten. Livestock are infrequently poisoned, but will eat the plant occasionally either fresh or in hay. The plant remains toxic when dried."
"Foxglove"	"Control"	"Do not allow animals to graze in areas where foxglove is present. The plant can be removed by pulling it from the ground, although you should be careful to remove all roots and to not shake seeds onto the surrounding soil. Use a waste bag to hold the removed plants to further contain the seeds. Process may take multiple seasons to remove all traces of foxglove from the area."
"Foxglove"	"Treatment"	"What to do is you get poisoned: Seek immediate medical help. DO NOT make a person throw up unless told to do so by poison control or a health care provider. Person's age, weight, and condition, name of the plant or medicine, if known, time it was swallowed, and amount swallowed."
"Foxglove"	"Animals_Affected"	"All animals and humans are susceptible to varying degrees."
"Foxglove"	"Distribution"	"Foxglove currently grows in the northwest states of the United States. It prefers rich soils and commonly grows along roadsides, fences, in open clearings in the woods, and in unused areas."
"Foxglove"	"state"	""
"Foxglove"	"References_Used"	"Burrows, George E., & Tyrl, Ronald J. (2013). Toxic plants of North America. Hoboken: Wiley-Blackwell."
"Geography Cone"	"Class"	"Animals"
"Geography Cone"	"Category"	"Snail"
